Metrics,estimate,lower,upper,Model,scenario,criteria_fil
Specificity,91.0837,81.4761,97.584,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,57.496,27.3154,82.0809,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,73.1714,49.5833,90.5872,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,32.5214,20.6786,48.0,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,28.8833,0.0,100.0,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,30.8857,20.6786,43.3333,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,99.0798,85.7143,100.0,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,3.9105,0.0,23.5294,Random Forest,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,24.286,2.1357,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,87.9323,69.541,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,85.8535,73.7096,95.4812,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,99.2695,97.9002,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,7.8373,0.0,25.5556,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,65.1833,0.0,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Specificity,86.2813,73.6538,96.3827,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,49.9502,22.3846,79.0619,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,65.5693,44.2096,86.3042,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,34.8996,22.8934,50.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,65.9643,0.0,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,31.4456,21.4286,45.4871,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,97.1734,80.0,100.0,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,8.1259,0.0,28.1078,Lasso regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,23.622,2.2826,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,88.2151,69.0185,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,86.2765,74.4137,94.1536,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,99.3094,97.9611,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,8.057,0.0,18.4801,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,66.2167,0.0,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Specificity,86.6744,74.3902,94.9552,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,53.548,23.8942,81.8973,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,69.1666,49.3269,86.8456,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,38.4703,25.5163,55.0758,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,83.6119,0.0,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,32.6861,22.8934,45.817,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,96.5226,80.0,100.0,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,13.5862,0.0,35.5147,Ridge regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,24.0889,2.1707,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,88.2196,69.3915,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,86.2518,74.3102,94.3573,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,99.3017,97.9577,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,8.0569,0.0,21.1667,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,65.3,0.0,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
Specificity,86.6553,74.6799,95.3986,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,53.2478,23.8287,83.4927,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,68.8253,49.3269,87.5156,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,37.8226,24.475,55.0758,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,79.4619,0.0,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,32.472,22.6282,45.817,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,96.6655,80.0,100.0,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,12.5765,0.0,35.5147,ElasticNet regression,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,42.2939,19.6939,70.9115,XGBoost,Without VL information,"Age
60-79"
AUROC_value,81.0739,62.1079,96.0825,XGBoost,Without VL information,"Age
60-79"
Accuracy,68.1608,52.6966,83.184,XGBoost,Without VL information,"Age
60-79"
NPV,98.208,95.082,100.0,XGBoost,Without VL information,"Age
60-79"
Precision,14.2456,6.4481,22.8056,XGBoost,Without VL information,"Age
60-79"
Sensitivity,79.7278,38.75,100.0,XGBoost,Without VL information,"Age
60-79"
Specificity,67.4028,50.2306,85.9555,XGBoost,Without VL information,"Age
60-79"
AUPRC_value,51.2912,6.25,100.0,XGBoost,Without VL information,"Age
≥80"
AUROC_value,68.6107,12.9464,100.0,XGBoost,Without VL information,"Age
≥80"
Accuracy,50.1542,18.25,83.8636,XGBoost,Without VL information,"Age
≥80"
NPV,81.1147,0.0,100.0,XGBoost,Without VL information,"Age
≥80"
Precision,24.6905,0.0,71.0417,XGBoost,Without VL information,"Age
≥80"
Sensitivity,67.1667,0.0,100.0,XGBoost,Without VL information,"Age
≥80"
Specificity,44.6781,0.0,94.7222,XGBoost,Without VL information,"Age
≥80"
AUPRC_value,41.6899,23.1571,67.3633,LightGBM,Without VL information,"Age
60-79"
AUROC_value,79.5767,61.8455,93.3769,LightGBM,Without VL information,"Age
60-79"
Accuracy,49.2194,4.4435,73.2464,LightGBM,Without VL information,"Age
60-79"
NPV,82.4995,0.0,100.0,LightGBM,Without VL information,"Age
60-79"
Precision,10.5328,4.4435,17.8063,LightGBM,Without VL information,"Age
60-79"
Sensitivity,86.7333,57.1429,100.0,LightGBM,Without VL information,"Age
60-79"
Specificity,46.9303,0.0,72.998,LightGBM,Without VL information,"Age
60-79"
AUPRC_value,50.721,6.25,100.0,LightGBM,Without VL information,"Age
≥80"
AUROC_value,67.5876,20.0,100.0,LightGBM,Without VL information,"Age
≥80"
Accuracy,34.593,9.125,73.9205,LightGBM,Without VL information,"Age
≥80"
NPV,62.5,0.0,100.0,LightGBM,Without VL information,"Age
≥80"
Precision,22.9744,0.0,50.0,LightGBM,Without VL information,"Age
≥80"
Sensitivity,89.6667,0.0,100.0,LightGBM,Without VL information,"Age
≥80"
Specificity,19.0466,0.0,66.6667,LightGBM,Without VL information,"Age
≥80"
AUPRC_value,40.1308,16.2825,66.8714,Random Forest,Without VL information,"Age
60-79"
AUROC_value,78.5319,58.15,94.7388,Random Forest,Without VL information,"Age
60-79"
Accuracy,70.5743,47.6159,88.2516,Random Forest,Without VL information,"Age
60-79"
NPV,97.7765,95.3488,100.0,Random Forest,Without VL information,"Age
60-79"
Precision,14.9824,6.4479,29.3214,Random Forest,Without VL information,"Age
60-79"
Sensitivity,73.8813,40.0,100.0,Random Forest,Without VL information,"Age
60-79"
Specificity,70.3374,45.6251,89.0661,Random Forest,Without VL information,"Age
60-79"
AUPRC_value,50.6685,6.25,100.0,Random Forest,Without VL information,"Age
≥80"
AUROC_value,67.3561,20.0,100.0,Random Forest,Without VL information,"Age
≥80"
Accuracy,40.0498,9.6528,78.9444,Random Forest,Without VL information,"Age
≥80"
NPV,73.5393,0.0,100.0,Random Forest,Without VL information,"Age
≥80"
Precision,23.12,0.0,55.25,Random Forest,Without VL information,"Age
≥80"
Sensitivity,82.0,0.0,100.0,Random Forest,Without VL information,"Age
≥80"
Specificity,28.3968,0.0,94.0625,Random Forest,Without VL information,"Age
≥80"
AUPRC_value,42.1852,19.4091,71.0534,Lasso regression,Without VL information,"Age
60-79"
AUROC_value,80.6117,61.9517,95.8893,Lasso regression,Without VL information,"Age
60-79"
Accuracy,67.8912,46.9393,84.6028,Lasso regression,Without VL information,"Age
60-79"
NPV,98.0008,95.2087,100.0,Lasso regression,Without VL information,"Age
60-79"
Precision,13.909,6.1188,25.0,Lasso regression,Without VL information,"Age
60-79"
Sensitivity,77.3937,41.3571,100.0,Lasso regression,Without VL information,"Age
60-79"
Specificity,67.2615,45.0759,86.6061,Lasso regression,Without VL information,"Age
60-79"
AUPRC_value,52.7671,6.25,100.0,Lasso regression,Without VL information,"Age
≥80"
AUROC_value,70.3878,17.5,100.0,Lasso regression,Without VL information,"Age
≥80"
Accuracy,32.2672,0.0,73.9205,Lasso regression,Without VL information,"Age
≥80"
NPV,53.8714,0.0,100.0,Lasso regression,Without VL information,"Age
≥80"
Precision,22.3853,0.0,50.0,Lasso regression,Without VL information,"Age
≥80"
Sensitivity,85.5,0.0,100.0,Lasso regression,Without VL information,"Age
≥80"
Specificity,17.7256,0.0,75.0,Lasso regression,Without VL information,"Age
≥80"
AUPRC_value,41.8862,19.5158,71.0607,Ridge regression,Without VL information,"Age
60-79"
AUROC_value,80.7337,62.5758,95.7258,Ridge regression,Without VL information,"Age
60-79"
Accuracy,68.045,49.3031,83.7422,Ridge regression,Without VL information,"Age
60-79"
NPV,98.0336,95.5537,100.0,Ridge regression,Without VL information,"Age
60-79"
Precision,13.9737,6.1188,25.0,Ridge regression,Without VL information,"Age
60-79"
Sensitivity,77.646,42.8571,100.0,Ridge regression,Without VL information,"Age
60-79"
Specificity,67.4051,46.8966,85.291,Ridge regression,Without VL information,"Age
60-79"
AUPRC_value,52.2825,6.25,100.0,Ridge regression,Without VL information,"Age
≥80"
AUROC_value,70.4405,14.881,100.0,Ridge regression,Without VL information,"Age
≥80"
Accuracy,32.27,9.6528,71.4318,Ridge regression,Without VL information,"Age
≥80"
NPV,55.4048,0.0,100.0,Ridge regression,Without VL information,"Age
≥80"
Precision,22.0874,0.0,50.0,Ridge regression,Without VL information,"Age
≥80"
Sensitivity,86.3333,0.0,100.0,Ridge regression,Without VL information,"Age
≥80"
Specificity,17.1522,0.0,75.0,Ridge regression,Without VL information,"Age
≥80"
AUPRC_value,42.4412,20.8421,71.0607,ElasticNet regression,Without VL information,"Age
60-79"
AUROC_value,80.6908,62.0576,95.7258,ElasticNet regression,Without VL information,"Age
60-79"
Accuracy,68.6685,49.3031,87.1442,ElasticNet regression,Without VL information,"Age
60-79"
NPV,98.0118,95.3298,100.0,ElasticNet regression,Without VL information,"Age
60-79"
Precision,14.3335,6.3791,25.4861,ElasticNet regression,Without VL information,"Age
60-79"
Sensitivity,77.1937,41.3571,100.0,ElasticNet regression,Without VL information,"Age
60-79"
Specificity,68.0933,46.8966,88.8575,ElasticNet regression,Without VL information,"Age
60-79"
AUPRC_value,52.6911,6.25,100.0,ElasticNet regression,Without VL information,"Age
≥80"
AUROC_value,70.6381,17.5,100.0,ElasticNet regression,Without VL information,"Age
≥80"
Accuracy,31.7825,9.125,68.4167,ElasticNet regression,Without VL information,"Age
≥80"
NPV,55.5714,0.0,100.0,ElasticNet regression,Without VL information,"Age
≥80"
Precision,21.3473,0.0,50.0,ElasticNet regression,Without VL information,"Age
≥80"
Sensitivity,86.3333,0.0,100.0,ElasticNet regression,Without VL information,"Age
≥80"
Specificity,16.4256,0.0,73.3036,ElasticNet regression,Without VL information,"Age
≥80"
AUPRC_value,40.3841,16.3272,68.9926,XGBoost,VL at symptom onset,"Age
60-79"
AUROC_value,81.1912,61.2451,95.4512,XGBoost,VL at symptom onset,"Age
60-79"
Accuracy,71.9379,59.6846,85.38,XGBoost,VL at symptom onset,"Age
60-79"
NPV,97.8006,95.0015,100.0,XGBoost,VL at symptom onset,"Age
60-79"
Precision,15.0218,6.1202,27.7885,XGBoost,VL at symptom onset,"Age
60-79"
Sensitivity,73.6377,35.3571,100.0,XGBoost,VL at symptom onset,"Age
60-79"
Specificity,71.8123,58.2465,86.0024,XGBoost,VL at symptom onset,"Age
60-79"
AUPRC_value,51.5551,6.25,100.0,XGBoost,VL at symptom onset,"Age
≥80"
AUROC_value,66.3553,1.7857,100.0,XGBoost,VL at symptom onset,"Age
≥80"
Accuracy,53.376,7.9167,89.4722,XGBoost,VL at symptom onset,"Age
≥80"
NPV,87.5675,0.0,100.0,XGBoost,VL at symptom onset,"Age
≥80"
Precision,27.0048,0.0,88.125,XGBoost,VL at symptom onset,"Age
≥80"
Sensitivity,68.3333,0.0,100.0,XGBoost,VL at symptom onset,"Age
≥80"
Specificity,48.406,0.0,100.0,XGBoost,VL at symptom onset,"Age
≥80"
AUPRC_value,41.9882,21.844,67.9088,LightGBM,VL at symptom onset,"Age
60-79"
AUROC_value,79.2311,62.4274,93.2553,LightGBM,VL at symptom onset,"Age
60-79"
Accuracy,55.9068,4.3844,89.6528,LightGBM,VL at symptom onset,"Age
60-79"
NPV,82.3506,0.0,100.0,LightGBM,VL at symptom onset,"Age
60-79"
Precision,13.8775,4.3844,36.0552,LightGBM,VL at symptom onset,"Age
60-79"
Sensitivity,81.6675,30.8333,100.0,LightGBM,VL at symptom onset,"Age
60-79"
Specificity,54.368,0.0,91.7393,LightGBM,VL at symptom onset,"Age
60-79"
AUPRC_value,49.9741,6.25,100.0,LightGBM,VL at symptom onset,"Age
≥80"
AUROC_value,67.8954,23.9286,100.0,LightGBM,VL at symptom onset,"Age
≥80"
Accuracy,42.8525,3.9583,88.8889,LightGBM,VL at symptom onset,"Age
≥80"
NPV,63.6598,0.0,100.0,LightGBM,VL at symptom onset,"Age
≥80"
Precision,23.5311,0.0,84.1667,LightGBM,VL at symptom onset,"Age
≥80"
Sensitivity,73.9167,0.0,100.0,LightGBM,VL at symptom onset,"Age
≥80"
Specificity,34.0997,0.0,100.0,LightGBM,VL at symptom onset,"Age
≥80"
AUPRC_value,34.7373,12.9513,67.2919,Random Forest,VL at symptom onset,"Age
60-79"
AUROC_value,77.8379,58.6021,94.3871,Random Forest,VL at symptom onset,"Age
60-79"
Accuracy,72.608,50.6305,86.425,Random Forest,VL at symptom onset,"Age
60-79"
NPV,97.5705,95.3658,100.0,Random Forest,VL at symptom onset,"Age
60-79"
Precision,15.2881,6.3458,29.2953,Random Forest,VL at symptom onset,"Age
60-79"
Sensitivity,70.7726,41.3571,100.0,Random Forest,VL at symptom onset,"Age
60-79"
Specificity,72.7045,48.883,88.0048,Random Forest,VL at symptom onset,"Age
60-79"
AUPRC_value,49.0951,8.3333,100.0,Random Forest,VL at symptom onset,"Age
≥80"
AUROC_value,70.6229,7.1429,100.0,Random Forest,VL at symptom onset,"Age
≥80"
Accuracy,42.4118,9.6528,80.0,Random Forest,VL at symptom onset,"Age
≥80"
NPV,77.6107,0.0,100.0,Random Forest,VL at symptom onset,"Age
≥80"
Precision,24.5582,0.0,66.6667,Random Forest,VL at symptom onset,"Age
≥80"
Sensitivity,81.25,0.0,100.0,Random Forest,VL at symptom onset,"Age
≥80"
Specificity,31.6234,0.0,94.0625,Random Forest,VL at symptom onset,"Age
≥80"
AUPRC_value,36.7167,12.1555,71.9653,Lasso regression,VL at symptom onset,"Age
60-79"
AUROC_value,80.2618,61.7966,95.967,Lasso regression,VL at symptom onset,"Age
60-79"
Accuracy,67.3315,46.7234,85.2942,Lasso regression,VL at symptom onset,"Age
60-79"
NPV,97.9834,95.2907,100.0,Lasso regression,VL at symptom onset,"Age
60-79"
Precision,13.8228,5.7658,25.4861,Lasso regression,VL at symptom onset,"Age
60-79"
Sensitivity,77.5187,41.3571,100.0,Lasso regression,VL at symptom onset,"Age
60-79"
Specificity,66.6677,44.1003,87.7049,Lasso regression,VL at symptom onset,"Age
60-79"
AUPRC_value,51.4646,8.3333,100.0,Lasso regression,VL at symptom onset,"Age
≥80"
AUROC_value,70.2315,3.5714,100.0,Lasso regression,VL at symptom onset,"Age
≥80"
Accuracy,32.9952,0.0,76.4583,Lasso regression,VL at symptom onset,"Age
≥80"
NPV,55.6429,0.0,100.0,Lasso regression,VL at symptom onset,"Age
≥80"
Precision,22.3146,0.0,50.0,Lasso regression,VL at symptom onset,"Age
≥80"
Sensitivity,84.8333,0.0,100.0,Lasso regression,VL at symptom onset,"Age
≥80"
Specificity,18.7852,0.0,75.0,Lasso regression,VL at symptom onset,"Age
≥80"
AUPRC_value,37.669,13.4598,70.2794,Ridge regression,VL at symptom onset,"Age
60-79"
AUROC_value,80.7099,61.6224,96.1214,Ridge regression,VL at symptom onset,"Age
60-79"
Accuracy,68.1412,47.3687,83.9571,Ridge regression,VL at symptom onset,"Age
60-79"
NPV,98.0154,95.3298,100.0,Ridge regression,VL at symptom onset,"Age
60-79"
Precision,13.9164,5.9241,23.7557,Ridge regression,VL at symptom onset,"Age
60-79"
Sensitivity,77.4099,41.3571,100.0,Ridge regression,VL at symptom onset,"Age
60-79"
Specificity,67.5326,44.9876,86.5,Ridge regression,VL at symptom onset,"Age
60-79"
AUPRC_value,49.6089,7.7083,100.0,Ridge regression,VL at symptom onset,"Age
≥80"
AUROC_value,66.9683,0.0,100.0,Ridge regression,VL at symptom onset,"Age
≥80"
Accuracy,32.0299,9.125,68.4167,Ridge regression,VL at symptom onset,"Age
≥80"
NPV,54.2381,0.0,100.0,Ridge regression,VL at symptom onset,"Age
≥80"
Precision,21.2067,0.0,50.0,Ridge regression,VL at symptom onset,"Age
≥80"
Sensitivity,84.5,0.0,100.0,Ridge regression,VL at symptom onset,"Age
≥80"
Specificity,17.5058,0.0,73.3036,Ridge regression,VL at symptom onset,"Age
≥80"
AUPRC_value,38.2449,13.3076,70.9556,ElasticNet regression,VL at symptom onset,"Age
60-79"
AUROC_value,80.6594,61.6518,96.173,ElasticNet regression,VL at symptom onset,"Age
60-79"
Accuracy,68.6641,47.3687,85.4623,ElasticNet regression,VL at symptom onset,"Age
60-79"
NPV,98.0126,95.3298,100.0,ElasticNet regression,VL at symptom onset,"Age
60-79"
Precision,14.1391,5.967,24.5905,ElasticNet regression,VL at symptom onset,"Age
60-79"
Sensitivity,77.1365,41.3571,100.0,ElasticNet regression,VL at symptom onset,"Age
60-79"
Specificity,68.0952,44.9876,87.3235,ElasticNet regression,VL at symptom onset,"Age
60-79"
AUPRC_value,50.1256,7.7083,100.0,ElasticNet regression,VL at symptom onset,"Age
≥80"
AUROC_value,67.7207,3.5714,100.0,ElasticNet regression,VL at symptom onset,"Age
≥80"
Accuracy,32.1751,9.125,68.4167,ElasticNet regression,VL at symptom onset,"Age
≥80"
NPV,54.7143,0.0,100.0,ElasticNet regression,VL at symptom onset,"Age
≥80"
Precision,21.3608,0.0,50.0,ElasticNet regression,VL at symptom onset,"Age
≥80"
Sensitivity,85.0,0.0,100.0,ElasticNet regression,VL at symptom onset,"Age
≥80"
Specificity,17.5161,0.0,73.3036,ElasticNet regression,VL at symptom onset,"Age
≥80"
AUPRC_value,44.4741,19.8852,73.467,XGBoost,VL at diagnosis,"Age
60-79"
AUROC_value,85.0804,69.3697,97.5727,XGBoost,VL at diagnosis,"Age
60-79"
Accuracy,77.734,66.6324,87.6263,XGBoost,VL at diagnosis,"Age
60-79"
NPV,98.2084,95.5484,100.0,XGBoost,VL at diagnosis,"Age
60-79"
Precision,18.8541,8.4698,31.7045,XGBoost,VL at diagnosis,"Age
60-79"
Sensitivity,77.2254,46.25,100.0,XGBoost,VL at diagnosis,"Age
60-79"
Specificity,77.7644,66.2871,88.0244,XGBoost,VL at diagnosis,"Age
60-79"
AUPRC_value,51.6295,7.7083,100.0,XGBoost,VL at diagnosis,"Age
≥80"
AUROC_value,70.3776,14.4643,100.0,XGBoost,VL at diagnosis,"Age
≥80"
Accuracy,64.7197,22.375,100.0,XGBoost,VL at diagnosis,"Age
≥80"
NPV,87.1234,23.75,100.0,XGBoost,VL at diagnosis,"Age
≥80"
Precision,30.7976,0.0,88.125,XGBoost,VL at diagnosis,"Age
≥80"
Sensitivity,59.25,0.0,100.0,XGBoost,VL at diagnosis,"Age
≥80"
Specificity,63.6396,11.875,100.0,XGBoost,VL at diagnosis,"Age
≥80"
AUPRC_value,44.3418,18.5884,69.1879,LightGBM,VL at diagnosis,"Age
60-79"
AUROC_value,84.1209,64.9408,96.6204,LightGBM,VL at diagnosis,"Age
60-79"
Accuracy,67.9826,4.5428,89.8515,LightGBM,VL at diagnosis,"Age
60-79"
NPV,91.2097,0.0,100.0,LightGBM,VL at diagnosis,"Age
60-79"
Precision,16.7865,4.5428,34.9242,LightGBM,VL at diagnosis,"Age
60-79"
Sensitivity,78.5821,37.8571,100.0,LightGBM,VL at diagnosis,"Age
60-79"
Specificity,67.3682,0.0,91.8107,LightGBM,VL at diagnosis,"Age
60-79"
AUPRC_value,49.8062,6.25,100.0,LightGBM,VL at diagnosis,"Age
≥80"
AUROC_value,68.8482,17.5,100.0,LightGBM,VL at diagnosis,"Age
≥80"
Accuracy,54.7234,10.3125,100.0,LightGBM,VL at diagnosis,"Age
≥80"
NPV,77.2142,0.0,100.0,LightGBM,VL at diagnosis,"Age
≥80"
Precision,26.4723,0.0,71.0417,LightGBM,VL at diagnosis,"Age
≥80"
Sensitivity,65.3333,0.0,100.0,LightGBM,VL at diagnosis,"Age
≥80"
Specificity,50.631,0.0,100.0,LightGBM,VL at diagnosis,"Age
≥80"
AUPRC_value,40.2033,13.737,74.9866,Random Forest,VL at diagnosis,"Age
60-79"
AUROC_value,82.5763,61.9874,96.7466,Random Forest,VL at diagnosis,"Age
60-79"
Accuracy,75.5449,58.6663,87.3357,Random Forest,VL at diagnosis,"Age
60-79"
NPV,97.9853,95.4702,100.0,Random Forest,VL at diagnosis,"Age
60-79"
Precision,17.4374,7.0771,31.5483,Random Forest,VL at diagnosis,"Age
60-79"
Sensitivity,74.6607,41.3571,100.0,Random Forest,VL at diagnosis,"Age
60-79"
Specificity,75.5831,56.8366,88.2133,Random Forest,VL at diagnosis,"Age
60-79"
AUPRC_value,51.6271,7.7083,100.0,Random Forest,VL at diagnosis,"Age
≥80"
AUROC_value,71.8301,25.0,100.0,Random Forest,VL at diagnosis,"Age
≥80"
Accuracy,44.5554,13.3482,80.0,Random Forest,VL at diagnosis,"Age
≥80"
NPV,78.529,0.0,100.0,Random Forest,VL at diagnosis,"Age
≥80"
Precision,25.0858,0.0,63.5,Random Forest,VL at diagnosis,"Age
≥80"
Sensitivity,79.0833,0.0,100.0,Random Forest,VL at diagnosis,"Age
≥80"
Specificity,35.1261,0.0,87.5,Random Forest,VL at diagnosis,"Age
≥80"
AUPRC_value,41.0709,14.7151,73.1419,Lasso regression,VL at diagnosis,"Age
60-79"
AUROC_value,82.4805,63.6177,96.4031,Lasso regression,VL at diagnosis,"Age
60-79"
Accuracy,68.5419,48.632,85.2183,Lasso regression,VL at diagnosis,"Age
60-79"
NPV,98.1065,95.1978,100.0,Lasso regression,VL at diagnosis,"Age
60-79"
Precision,14.4372,6.4849,28.3,Lasso regression,VL at diagnosis,"Age
60-79"
Sensitivity,78.8071,50.0,100.0,Lasso regression,VL at diagnosis,"Age
60-79"
Specificity,67.8967,47.1919,85.3622,Lasso regression,VL at diagnosis,"Age
60-79"
AUPRC_value,53.4595,8.3333,100.0,Lasso regression,VL at diagnosis,"Age
≥80"
AUROC_value,73.4188,17.5,100.0,Lasso regression,VL at diagnosis,"Age
≥80"
Accuracy,37.7041,9.6528,75.3788,Lasso regression,VL at diagnosis,"Age
≥80"
NPV,69.7286,0.0,100.0,Lasso regression,VL at diagnosis,"Age
≥80"
Precision,24.0963,0.0,58.6429,Lasso regression,VL at diagnosis,"Age
≥80"
Sensitivity,84.8333,0.0,100.0,Lasso regression,VL at diagnosis,"Age
≥80"
Specificity,24.9253,0.0,73.3036,Lasso regression,VL at diagnosis,"Age
≥80"
AUPRC_value,41.0291,14.1827,74.36,Ridge regression,VL at diagnosis,"Age
60-79"
AUROC_value,82.6504,63.3189,96.6188,Ridge regression,VL at diagnosis,"Age
60-79"
Accuracy,70.1537,52.5058,84.1265,Ridge regression,VL at diagnosis,"Age
60-79"
NPV,98.02,95.1807,100.0,Ridge regression,VL at diagnosis,"Age
60-79"
Precision,14.6916,6.7203,27.4373,Ridge regression,VL at diagnosis,"Age
60-79"
Sensitivity,77.344,46.25,100.0,Ridge regression,VL at diagnosis,"Age
60-79"
Specificity,69.722,50.7054,85.2181,Ridge regression,VL at diagnosis,"Age
60-79"
AUPRC_value,54.0809,8.3333,100.0,Ridge regression,VL at diagnosis,"Age
≥80"
AUROC_value,73.3035,17.5,100.0,Ridge regression,VL at diagnosis,"Age
≥80"
Accuracy,39.2257,9.6528,76.5455,Ridge regression,VL at diagnosis,"Age
≥80"
NPV,73.9667,0.0,100.0,Ridge regression,VL at diagnosis,"Age
≥80"
Precision,24.2752,0.0,60.0,Ridge regression,VL at diagnosis,"Age
≥80"
Sensitivity,84.75,0.0,100.0,Ridge regression,VL at diagnosis,"Age
≥80"
Specificity,26.5218,0.0,69.1667,Ridge regression,VL at diagnosis,"Age
≥80"
AUPRC_value,41.0651,14.3364,73.1346,ElasticNet regression,VL at diagnosis,"Age
60-79"
AUROC_value,82.5545,63.3405,96.4961,ElasticNet regression,VL at diagnosis,"Age
60-79"
Accuracy,70.2772,52.1922,83.7939,ElasticNet regression,VL at diagnosis,"Age
60-79"
NPV,97.9865,95.2381,100.0,ElasticNet regression,VL at diagnosis,"Age
60-79"
Precision,14.7386,6.7759,27.4373,ElasticNet regression,VL at diagnosis,"Age
60-79"
Sensitivity,77.019,46.25,100.0,ElasticNet regression,VL at diagnosis,"Age
60-79"
Specificity,69.871,50.9171,85.5668,ElasticNet regression,VL at diagnosis,"Age
60-79"
AUPRC_value,54.0845,8.3333,100.0,ElasticNet regression,VL at diagnosis,"Age
≥80"
AUROC_value,73.2917,17.5,100.0,ElasticNet regression,VL at diagnosis,"Age
≥80"
Accuracy,38.9726,11.7708,76.5455,ElasticNet regression,VL at diagnosis,"Age
≥80"
NPV,73.9667,0.0,100.0,ElasticNet regression,VL at diagnosis,"Age
≥80"
Precision,24.1452,0.0,60.0,ElasticNet regression,VL at diagnosis,"Age
≥80"
Sensitivity,84.75,0.0,100.0,ElasticNet regression,VL at diagnosis,"Age
≥80"
Specificity,26.1412,0.0,69.1667,ElasticNet regression,VL at diagnosis,"Age
≥80"
AUPRC_value,46.6994,22.3186,72.6512,XGBoost,VL at diagnosis + 2 days,"Age
60-79"
AUROC_value,87.4141,72.2672,97.1585,XGBoost,VL at diagnosis + 2 days,"Age
60-79"
Accuracy,74.9162,64.1444,84.6802,XGBoost,VL at diagnosis + 2 days,"Age
60-79"
NPV,98.5785,96.2108,100.0,XGBoost,VL at diagnosis + 2 days,"Age
60-79"
Precision,17.707,8.3333,31.9136,XGBoost,VL at diagnosis + 2 days,"Age
60-79"
